day_number,process,floor,trade,is_invalid,is_rework,daily_work_done,efficiency,start_day,complete_day,recorded_at
140,Electric conduits in the wall,3,Electricity,FALSE,TRUE,38,92.68%,133,null,2025-03-25 11:54:28.699895+00
140,Floor tiling,5,Tiling,TRUE,TRUE,0,0.00%,124,null,2025-03-25 11:54:28.699895+00
140,Partition phase 1,5,Partition,FALSE,TRUE,51,92.73%,134,null,2025-03-25 11:54:28.699895+00
141,Electric conduits in the wall,3,Electricity,TRUE,TRUE,0,0.00%,133,null,2025-03-25 11:54:28.699895+00
141,Floor tiling,5,Tiling,FALSE,TRUE,67,108.06%,124,null,2025-03-25 11:54:28.699895+00
141,Partition phase 1,5,Partition,FALSE,TRUE,60,109.09%,134,null,2025-03-25 11:54:28.699895+00
142,Electric conduits in the wall,3,Electricity,TRUE,TRUE,0,0.00%,133,null,2025-03-25 11:54:28.699895+00
142,Floor tiling,5,Tiling,FALSE,TRUE,65,104.84%,124,142,2025-03-25 11:54:28.699895+00
142,Partition phase 1,5,Partition,FALSE,TRUE,54,98.18%,134,null,2025-03-25 11:54:28.699895+00
143,Electric conduits in the wall,3,Electricity,FALSE,TRUE,45,109.76%,133,143,2025-03-25 11:54:28.699895+00
143,Partition phase 1,5,Partition,TRUE,TRUE,0,0.00%,134,null,2025-03-25 11:54:28.699895+00
143,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
144,Electric conduits in the wall,4,Electricity,FALSE,TRUE,38,92.68%,143,null,2025-03-25 11:54:28.699895+00
144,Partition phase 1,5,Partition,FALSE,TRUE,50,90.91%,134,null,2025-03-25 11:54:28.699895+00
144,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
145,Electric conduits in the wall,4,Electricity,TRUE,TRUE,0,0.00%,143,null,2025-03-25 11:54:28.699895+00
145,Partition phase 1,5,Partition,TRUE,TRUE,0,0.00%,134,null,2025-03-25 11:54:28.699895+00
145,Wall tiling,2,Tiling,FALSE,TRUE,29,107.41%,142,null,2025-03-25 11:54:28.699895+00
146,Electric conduits in the wall,4,Electricity,FALSE,TRUE,42,102.44%,143,null,2025-03-25 11:54:28.699895+00
146,Partition phase 1,5,Partition,TRUE,TRUE,0,0.00%,134,null,2025-03-25 11:54:28.699895+00
146,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
147,Electric conduits in the wall,4,Electricity,FALSE,TRUE,42,102.44%,143,null,2025-03-25 11:54:28.699895+00
147,Partition phase 1,5,Partition,TRUE,TRUE,0,0.00%,134,null,2025-03-25 11:54:28.699895+00
147,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
148,Electric conduits in the wall,4,Electricity,FALSE,TRUE,37,90.24%,143,null,2025-03-25 11:54:28.699895+00
148,Partition phase 1,5,Partition,FALSE,TRUE,53,96.36%,134,null,2025-03-25 11:54:28.699895+00
148,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
149,Electric conduits in the wall,4,Electricity,TRUE,TRUE,0,0.00%,143,null,2025-03-25 11:54:28.699895+00
149,Partition phase 1,5,Partition,TRUE,TRUE,0,0.00%,134,null,2025-03-25 11:54:28.699895+00
149,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
150,Electric conduits in the wall,4,Electricity,FALSE,TRUE,42,102.44%,143,150,2025-03-25 11:54:28.699895+00
150,Partition phase 1,5,Partition,TRUE,TRUE,0,0.00%,134,null,2025-03-25 11:54:28.699895+00
150,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
151,Partition phase 1,5,Partition,FALSE,TRUE,60,109.09%,134,null,2025-03-25 11:54:28.699895+00
151,Wall tiling,2,Tiling,FALSE,TRUE,25,92.59%,142,null,2025-03-25 11:54:28.699895+00
152,Partition phase 1,5,Partition,FALSE,TRUE,55,100.00%,134,null,2025-03-25 11:54:28.699895+00
152,Wall tiling,2,Tiling,FALSE,TRUE,28,103.70%,142,null,2025-03-25 11:54:28.699895+00
153,Partition phase 1,5,Partition,FALSE,TRUE,56,101.82%,134,null,2025-03-25 11:54:28.699895+00
153,Wall tiling,2,Tiling,FALSE,TRUE,26,96.30%,142,null,2025-03-25 11:54:28.699895+00
154,Partition phase 1,5,Partition,FALSE,TRUE,56,101.82%,134,null,2025-03-25 11:54:28.699895+00
154,Wall tiling,2,Tiling,FALSE,TRUE,25,92.59%,142,null,2025-03-25 11:54:28.699895+00
155,Partition phase 1,5,Partition,TRUE,TRUE,0,0.00%,134,null,2025-03-25 11:54:28.699895+00
155,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
156,Partition phase 1,5,Partition,FALSE,TRUE,51,92.73%,134,null,2025-03-25 11:54:28.699895+00
156,Wall tiling,2,Tiling,FALSE,TRUE,27,100.00%,142,null,2025-03-25 11:54:28.699895+00
157,Partition phase 1,5,Partition,FALSE,TRUE,58,105.45%,134,157,2025-03-25 11:54:28.699895+00
157,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
158,Partition phase 3,3,Partition,FALSE,TRUE,35,109.38%,157,null,2025-03-25 11:54:28.699895+00
158,Pipes in the wall,5,Plumbing,FALSE,TRUE,37,100.00%,157,null,2025-03-25 11:54:28.699895+00
158,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
159,Partition phase 3,3,Partition,FALSE,TRUE,31,96.88%,157,null,2025-03-25 11:54:28.699895+00
